source,freq,year,quarter,type_id,is_provisional,n,value_kchf,value_chf,geo_id
T_05_05_1_1_01,Q,2010,1,ppe,0,258.0,284071.0,284071000.0,0000
T_05_05_1_1_01,Q,2010,1,ppe_existing,0,183.0,212090.0,212090000.0,0000
T_05_05_1_1_01,Q,2010,1,ppe_new,0,75.0,71981.0,71981000.0,0000
T_05_05_1_1_01,Q,2010,2,commercial,0,7.0,14411.0,14411000.0,0000
T_05_05_1_1_01,Q,2010,2,house,0,150.0,438308.0,438308000.0,0000
T_05_05_1_1_01,Q,2010,2,house_existing,0,121.0,375713.0,375713000.0,0000
T_05_05_1_1_01,Q,2010,2,house_new,0,29.0,62595.0,62595000.0,0000
T_05_05_1_1_01,Q,2010,2,land,0,113.0,49691.0,49691000.0,0000
T_05_05_1_1_01,Q,2010,2,mixed,0,16.0,132986.0,132986000.0,0000
T_05_05_1_1_01,Q,2010,2,multi_unit,0,13.0,158962.0,158962000.0,0000
T_05_05_1_1_01,Q,2010,2,ppe,0,286.0,328185.0,328185000.0,0000
T_05_05_1_1_01,Q,2010,2,ppe_existing,0,175.0,222868.0,222868000.0,0000
T_05_05_1_1_01,Q,2010,2,ppe_new,0,111.0,105317.0,105317000.0,0000
T_05_05_1_1_01,Q,2010,3,commercial,0,21.0,231285.0,231285000.0,0000
T_05_05_1_1_01,Q,2010,3,house,0,176.0,436848.0,436848000.0,0000
T_05_05_1_1_01,Q,2010,3,house_existing,0,154.0,391851.0,391851000.0,0000
T_05_05_1_1_01,Q,2010,3,house_new,0,22.0,44997.0,44997000.0,0000
T_05_05_1_1_01,Q,2010,3,land,0,73.0,57485.0,57485000.0,0000
T_05_05_1_1_01,Q,2010,3,mixed,0,11.0,88184.0,88184000.0,0000
T_05_05_1_1_01,Q,2010,3,multi_unit,0,15.0,89604.0,89604000.0,0000
T_05_05_1_1_01,Q,2010,3,ppe,0,349.0,388686.0,388686000.0,0000
