source,freq,year,quarter,geo_label,type_id,condition,market,is_provisional,n,unit,geo_id,p25,median,p75
T_05_05_1_1_02,Q,2023,2,Canton,house_existing,existing,all,0,157.0,CHF_per_object,0000,1700000.0,2162000.0,2900000.0
T_05_05_1_1_02,Q,2023,3,Canton,house_existing,existing,all,0,154.0,CHF_per_object,0000,1662000.0,2178000.0,3000000.0
T_05_05_1_1_02,Q,2023,4,Canton,house_existing,existing,all,0,156.0,CHF_per_object,0000,1506000.0,2295000.0,3325000.0
T_05_05_1_1_02,Q,2024,1,Canton,house_existing,existing,all,0,104.0,CHF_per_object,0000,1633000.0,2113000.0,3300000.0
T_05_05_1_1_02,Q,2024,2,Canton,house_existing,existing,all,0,153.0,CHF_per_object,0000,1650000.0,2150000.0,3011000.0
T_05_05_1_1_02,Q,2024,3,Canton,house_existing,existing,all,0,158.0,CHF_per_object,0000,1735000.0,2155000.0,3380000.0
T_05_05_1_1_02,Q,2024,4,Canton,house_existing,existing,all,0,161.0,CHF_per_object,0000,1750000.0,2290000.0,3350000.0
T_05_05_1_1_02,Q,2025,1,Canton,house_existing,existing,all,1,84.0,CHF_per_object,0000,1695000.0,2173000.0,3871000.0
T_05_05_1_1_02,Q,2025,2,Canton,house_existing,existing,all,1,163.0,CHF_per_object,0000,1600000.0,2145000.0,3800000.0
T_05_05_1_1_02,Q,2025,3,Canton,house_existing,existing,all,1,163.0,CHF_per_object,0000,1680000.0,2350000.0,3550000.0
T_05_05_1_1_02,Q,2025,4,Canton,house_existing,existing,all,1,142.0,CHF_per_object,0000,1600000.0,2225000.0,3375000.0
T_05_05_1_1_02,Q,2026,1,Canton,house_existing,existing,all,1,123.0,CHF_per_object,0000,1490000.0,2100000.0,3500000.0
T_05_05_1_1_02,Q,2026,2,Canton,house_existing,existing,all,1,109.0,CHF_per_object,0000,1590000.0,2100000.0,3200000.0
T_05_05_1_1_02,Q,2026,3,Canton,house_existing,existing,all,1,,CHF_per_object,0000,,,
T_05_05_1_1_02,Q,2026,4,Canton,house_existing,existing,all,1,,CHF_per_object,0000,,,
T_05_05_1_1_02,Q,2007,1,Canton,ppe_existing,existing,libre,0,143.0,CHF_per_object,0000,520000.0,700000.0,1100000.0
T_05_05_1_1_02,Q,2007,2,Canton,ppe_existing,existing,libre,0,181.0,CHF_per_object,0000,440000.0,700000.0,925000.0
T_05_05_1_1_02,Q,2007,3,Canton,ppe_existing,existing,libre,0,181.0,CHF_per_object,0000,360000.0,580000.0,940000.0
T_05_05_1_1_02,Q,2007,4,Canton,ppe_existing,existing,libre,0,267.0,CHF_per_object,0000,336000.0,651000.0,1050000.0
T_05_05_1_1_02,Q,2008,1,Canton,ppe_existing,existing,libre,0,152.0,CHF_per_object,0000,413000.0,695000.0,1040000.0
T_05_05_1_1_02,Q,2008,2,Canton,ppe_existing,existing,libre,0,190.0,CHF_per_object,0000,430000.0,730000.0,1200000.0
T_05_05_1_1_02,Q,2008,3,Canton,ppe_existing,existing,libre,0,158.0,CHF_per_object,0000,532000.0,838000.0,1100000.0
T_05_05_1_1_02,Q,2008,4,Canton,ppe_existing,existing,libre,0,172.0,CHF_per_object,0000,550000.0,936000.0,1354000.0
T_05_05_1_1_02,Q,2009,1,Canton,ppe_existing,existing,libre,0,154.0,CHF_per_object,0000,400000.0,600000.0,914000.0
T_05_05_1_1_02,Q,2009,2,Canton,ppe_existing,existing,libre,0,172.0,CHF_per_object,0000,520000.0,840000.0,1333000.0
T_05_05_1_1_02,Q,2009,3,Canton,ppe_existing,existing,libre,0,176.0,CHF_per_object,0000,430000.0,800000.0,1150000.0
T_05_05_1_1_02,Q,2009,4,Canton,ppe_existing,existing,libre,0,177.0,CHF_per_object,0000,535000.0,920000.0,1355000.0
T_05_05_1_1_02,Q,2010,1,Canton,ppe_existing,existing,libre,0,175.0,CHF_per_object,0000,536000.0,920000.0,1350000.0
T_05_05_1_1_02,Q,2010,2,Canton,ppe_existing,existing,libre,0,164.0,CHF_per_object,0000,598000.0,1000000.0,1500000.0
T_05_05_1_1_02,Q,2010,3,Canton,ppe_existing,existing,libre,0,160.0,CHF_per_object,0000,550000.0,890000.0,1460000.0
T_05_05_1_1_02,Q,2010,4,Canton,ppe_existing,existing,libre,0,153.0,CHF_per_object,0000,600000.0,920000.0,1490000.0
T_05_05_1_1_02,Q,2011,1,Canton,ppe_existing,existing,libre,0,146.0,CHF_per_object,0000,600000.0,970000.0,1400000.0
T_05_05_1_1_02,Q,2011,2,Canton,ppe_existing,existing,libre,0,180.0,CHF_per_object,0000,665000.0,1050000.0,1619000.0
T_05_05_1_1_02,Q,2011,3,Canton,ppe_existing,existing,libre,0,141.0,CHF_per_object,0000,750000.0,1120000.0,1723000.0
T_05_05_1_1_02,Q,2011,4,Canton,ppe_existing,existing,libre,0,165.0,CHF_per_object,0000,593000.0,950000.0,1500000.0
T_05_05_1_1_02,Q,2012,1,Canton,ppe_existing,existing,libre,0,137.0,CHF_per_object,0000,632000.0,1085000.0,1665000.0
T_05_05_1_1_02,Q,2012,2,Canton,ppe_existing,existing,libre,0,166.0,CHF_per_object,0000,750000.0,1113000.0,1731000.0
T_05_05_1_1_02,Q,2012,3,Canton,ppe_existing,existing,libre,0,137.0,CHF_per_object,0000,800000.0,1200000.0,1900000.0
T_05_05_1_1_02,Q,2012,4,Canton,ppe_existing,existing,libre,0,167.0,CHF_per_object,0000,580000.0,1010000.0,1450000.0
T_05_05_1_1_02,Q,2013,1,Canton,ppe_existing,existing,libre,0,118.0,CHF_per_object,0000,700000.0,1150000.0,1550000.0
T_05_05_1_1_02,Q,2013,2,Canton,ppe_existing,existing,libre,0,124.0,CHF_per_object,0000,775000.0,1023000.0,1466000.0
T_05_05_1_1_02,Q,2013,3,Canton,ppe_existing,existing,libre,0,140.0,CHF_per_object,0000,750000.0,1078000.0,1400000.0
T_05_05_1_1_02,Q,2013,4,Canton,ppe_existing,existing,libre,0,147.0,CHF_per_object,0000,650000.0,1000000.0,1315000.0
T_05_05_1_1_02,Q,2014,1,Canton,ppe_existing,existing,libre,0,112.0,CHF_per_object,0000,680000.0,1020000.0,1537000.0
T_05_05_1_1_02,Q,2014,2,Canton,ppe_existing,existing,libre,0,141.0,CHF_per_object,0000,645000.0,965000.0,1325000.0
T_05_05_1_1_02,Q,2014,3,Canton,ppe_existing,existing,libre,0,149.0,CHF_per_object,0000,620000.0,1003000.0,1511000.0
T_05_05_1_1_02,Q,2014,4,Canton,ppe_existing,existing,libre,0,153.0,CHF_per_object,0000,730000.0,1040000.0,1275000.0
T_05_05_1_1_02,Q,2015,1,Canton,ppe_existing,existing,libre,0,158.0,CHF_per_object,0000,745000.0,1002000.0,1400000.0
T_05_05_1_1_02,Q,2015,2,Canton,ppe_existing,existing,libre,0,153.0,CHF_per_object,0000,686000.0,980000.0,1433000.0
T_05_05_1_1_02,Q,2015,3,Canton,ppe_existing,existing,libre,0,136.0,CHF_per_object,0000,840000.0,1158000.0,1620000.0
T_05_05_1_1_02,Q,2015,4,Canton,ppe_existing,existing,libre,0,176.0,CHF_per_object,0000,710000.0,980000.0,1328000.0
T_05_05_1_1_02,Q,2016,1,Canton,ppe_existing,existing,libre,0,142.0,CHF_per_object,0000,720000.0,1075000.0,1460000.0
T_05_05_1_1_02,Q,2016,2,Canton,ppe_existing,existing,libre,0,135.0,CHF_per_object,0000,735000.0,1040000.0,1500000.0
T_05_05_1_1_02,Q,2016,3,Canton,ppe_existing,existing,libre,0,161.0,CHF_per_object,0000,750000.0,1100000.0,1600000.0
T_05_05_1_1_02,Q,2016,4,Canton,ppe_existing,existing,libre,0,177.0,CHF_per_object,0000,600000.0,915000.0,1258000.0
T_05_05_1_1_02,Q,2017,1,Canton,ppe_existing,existing,libre,0,148.0,CHF_per_object,0000,680000.0,1085000.0,1410000.0
T_05_05_1_1_02,Q,2017,2,Canton,ppe_existing,existing,libre,0,142.0,CHF_per_object,0000,850000.0,1095000.0,1455000.0
T_05_05_1_1_02,Q,2017,3,Canton,ppe_existing,existing,libre,0,155.0,CHF_per_object,0000,665000.0,1086000.0,1495000.0
T_05_05_1_1_02,Q,2017,4,Canton,ppe_existing,existing,libre,0,180.0,CHF_per_object,0000,623000.0,970000.0,1445000.0
T_05_05_1_1_02,Q,2018,1,Canton,ppe_existing,existing,libre,0,176.0,CHF_per_object,0000,708000.0,1080000.0,1467000.0
T_05_05_1_1_02,Q,2018,2,Canton,ppe_existing,existing,libre,0,180.0,CHF_per_object,0000,675000.0,951000.0,1478000.0
T_05_05_1_1_02,Q,2018,3,Canton,ppe_existing,existing,libre,0,146.0,CHF_per_object,0000,850000.0,1150000.0,1470000.0
T_05_05_1_1_02,Q,2018,4,Canton,ppe_existing,existing,libre,0,167.0,CHF_per_object,0000,685000.0,990000.0,1506000.0
T_05_05_1_1_02,Q,2019,1,Canton,ppe_existing,existing,libre,0,161.0,CHF_per_object,0000,685000.0,985000.0,1440000.0
T_05_05_1_1_02,Q,2019,2,Canton,ppe_existing,existing,libre,0,214.0,CHF_per_object,0000,740000.0,1109000.0,1500000.0
T_05_05_1_1_02,Q,2019,3,Canton,ppe_existing,existing,libre,0,136.0,CHF_per_object,0000,790000.0,1115000.0,1524000.0
T_05_05_1_1_02,Q,2019,4,Canton,ppe_existing,existing,libre,0,200.0,CHF_per_object,0000,790000.0,1102000.0,1422000.0
